38 Provinsi (2022=100),,,,,,,,,,,,,
,Indeks Harga Konsumen 38 Provinsi (2022=100),,,,,,,,,,,,
,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
PROV ACEH,107.07,106.56,108.26,110,109.35,109.21,109.95,110.81,111.03,111.16,110.42,114.4,-
PROV SUMATERA UTARA,107.32,106.64,107.37,108.82,108.29,108.08,108.9,110.39,111.11,110.89,110.42,112.25,-
PROV SUMATERA BARAT,106.93,106.76,107.86,109.77,108.69,108.41,109.1,109.67,110.6,111.04,110.77,112.41,-
PROV RIAU,106.96,106.42,107.9,109.44,108.59,108.35,109.02,109.95,111.17,111.1,110.86,112.2,-
PROV JAMBI,106.41,105.77,106.97,108.79,108.05,108.31,108.87,108.92,109.8,109.77,109.82,110.5,-
PROV SUMATERA SELATAN,106.63,106.19,107.81,109.31,108.93,109.02,109.17,109.13,109.42,109.56,109.58,110.12,-
PROV BENGKULU,105.33,104.73,106.07,107.46,107.18,106.61,107.04,107.15,108.19,108.39,108.43,108.9,-
PROV LAMPUNG,107.66,106.95,109.05,110.35,109.71,109.75,109.96,108.34,108.51,108.76,109.15,109.79,-
PROV KEPULAUAN BANGKA BELITUNG,103.36,103.33,105.22,106.03,105.09,104.98,105.66,105.17,105.65,106.17,106.55,107.14,-
PROV KEPULAUAN RIAU,107.81,107.66,108.07,108.71,108.23,108.1,108.3,108.5,109.19,109.58,109.83,111.08,-
PROV DKI JAKARTA,104.1,103.8,105.88,107.4,107.14,107.28,107.4,107.35,107.49,107.82,108.11,108.47,-
PROV JAWA BARAT,106.6,105.95,107.64,108.73,108.38,108.67,109,108.79,109.02,109.51,109.68,110.15,-
PROV JAWA TENGAH,106.58,105.75,107.26,108.74,108.21,108.47,108.67,108.56,108.79,109.22,109.43,109.98,-
PROV DI YOGYAKARTA,106.24,105.33,106.65,108.43,108.27,108.52,108.57,108.31,108.47,108.93,109.22,109.93,-
PROV JAWA TIMUR,106.53,105.9,107.43,108.43,108.06,108.52,108.76,108.65,108.9,109.23,109.42,110.25,-
PROV BANTEN,105.49,104.79,106.91,108.29,107.71,107.91,108.14,107.79,107.9,108.51,108.8,109.53,-
PROV BALI,107.85,107.23,108.96,109.75,109.23,109.71,110.06,109.63,109.62,109.8,110.24,111.01,-
PROV NUSA TENGGARA BARAT,106.45,105.81,107.97,108.72,108.09,108.74,108.93,108.48,108.72,109.1,109.47,110.26,-
PROV NUSA TENGGARA TIMUR,106.11,106.5,107.82,108.06,107.63,107.51,108.54,107.94,107.48,107.44,108.06,108.94,-
PROV KALIMANTAN BARAT,105.57,105.53,106.83,107.85,107.37,107.71,108.22,107.94,108.06,108.24,108.5,108.8,-
PROV KALIMANTAN TENGAH,106.06,105.57,107.37,108.02,107.45,107.79,108.2,107.72,108.08,108.64,108.85,109.98,-
PROV KALIMANTAN SELATAN,106.33,105.92,107.6,108.76,108.41,108.66,108.89,108.72,109.03,109.42,110.22,111.06,-
PROV KALIMANTAN TIMUR,105.86,105.6,107.73,108.7,108.32,108.91,108.98,108.54,108.58,108.59,109.03,109.8,-
PROV KALIMANTAN UTARA,104.29,104.11,106.36,106.84,106.9,106.97,107.6,107.66,107.65,107.74,107.86,108.44,-
PROV SULAWESI UTARA,106.1,105.54,108.34,109.44,108.57,109.27,109.5,108.28,108.36,108.49,108.05,108.6,-
PROV SULAWESI TENGAH,105.9,105.96,108.95,110.17,109.86,109.91,110.97,111.04,110.96,111.02,110.56,110.71,-
PROV SULAWESI SELATAN,105.46,104.52,106.78,108.65,108.28,108.21,108.87,108.91,108.72,108.83,108.75,109.28,-
PROV SULAWESI TENGGARA,105.01,105.39,107.91,108.87,108.72,109.48,110.59,110.32,110.03,109.39,109.37,109.61,-
PROV GORONTALO,104.85,104.95,107.97,109.15,107.32,107.72,109.16,108.36,108.23,108.08,108.34,109.29,-
PROV SULAWESI BARAT,105.63,105.12,107.46,109.08,108.84,109.04,109.61,109.41,109.26,109.06,108.8,109.43,-
PROV MALUKU,106.64,105.97,107.79,107.89,108.75,109.81,110.1,110,109.68,109.62,109.93,110.82,-
PROV MALUKU UTARA,106.53,106.41,109.23,110.68,109.89,110.19,110.62,108.52,108.48,108.79,110.02,110.08,-
PROV PAPUA BARAT,105.47,103.98,106.37,106.95,106.6,107.22,108.55,107.47,108.51,108.3,109,110.74,-
PROV PAPUA BARAT DAYA,103.92,102.93,104.07,105.01,105.05,105.49,106.24,107.16,107.04,106.95,106.93,107.62,-
PROV PAPUA,104.47,103.93,105.1,105.83,106.14,106.24,105.88,104.9,104.94,104.69,106.46,108.34,-
PROV PAPUA SELATAN,107.09,107.03,109.38,110.69,111.4,111.03,112.63,111.13,109.93,109.95,110.19,111.08,-
PROV PAPUA TENGAH,108.67,108.56,111.38,112.73,112.74,112.62,113.37,111.97,111.94,112.3,113.18,114.27,-
PROV PAPUA PEGUNUNGAN,112.06,115.17,115.26,114.22,115.26,113.53,115.4,114.89,114.03,112.98,113.61,115.4,-
INDONESIA,105.99,105.48,107.22,108.47,108.07,108.27,108.6,108.51,108.74,109.04,109.22,109.92,-
