38 Provinsi,
,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi (Umur Harapan Hidup Hasil Long Form SP2020)
,2022
ACEH,74.11
SUMATERA UTARA,74.51
SUMATERA BARAT,75.16
RIAU,74.45
JAMBI,73.11
SUMATERA SELATAN,72.48
BENGKULU,73.68
LAMPUNG,71.79
KEP. BANGKA BELITUNG,73.5
KEP. RIAU,78.48
DKI JAKARTA,82.77
JAWA BARAT,73.63
JAWA TENGAH,72.8
DI YOGYAKARTA,80.65
JAWA TIMUR,74.05
BANTEN,75.25
BALI,77.4
NUSA TENGGARA BARAT,71.65
NUSA TENGGARA TIMUR,67.63
KALIMANTAN BARAT,69.71
KALIMANTAN TENGAH,73.17
KALIMANTAN SELATAN,74
KALIMANTAN TIMUR,77.36
KALIMANTAN UTARA,72.21
SULAWESI UTARA,74.52
SULAWESI TENGAH,71.01
SULAWESI SELATAN,73.96
SULAWESI TENGGARA,72.38
GORONTALO,70.62
SULAWESI BARAT,69.19
MALUKU,72.04
MALUKU UTARA,70.26
PAPUA BARAT,66.03
PAPUA BARAT DAYA,68.6
PAPUA,72.57
PAPUA SELATAN,67.39
PAPUA TENGAH,58.76
PAPUA PEGUNUNGAN,52.69
INDONESIA,73.77
