38 Provinsi (2022=100),,,,,,,,,,,,,
,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100) (Persen),,,,,,,,,,,,
,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
PROV ACEH,1.61,0.41,1.53,3.11,2.35,2.19,3,3.7,4.45,4.66,3.58,6.71,-
PROV SUMATERA UTARA,1.78,0.73,0.69,2.09,1.11,1.25,2.86,4.42,5.32,4.97,3.96,4.66,-
PROV SUMATERA BARAT,1.24,-0.09,0.3,2.38,0.85,0.45,2.19,2.89,4.22,4.52,3.98,5.15,-
PROV RIAU,1.12,0.02,0.68,2.07,0.98,0.98,2.42,3.58,5.08,4.95,4.27,4.88,-
PROV JAMBI,0.46,-0.27,0.32,1.84,0.96,1.34,2.71,2.76,3.77,3.71,3.55,3.71,-
PROV SUMATERA SELATAN,0.92,0.49,1.77,2.74,2.33,2.44,2.88,3.04,3.44,3.49,2.91,2.91,-
PROV BENGKULU,0.09,-1.26,-0.22,0.96,0.39,-0.1,1.01,1.3,2.57,2.85,2.68,2.77,-
PROV LAMPUNG,1.04,-0.02,1.58,2.8,2.12,2.27,2.63,1.05,1.17,1.2,1.14,1.25,-
PROV KEPULAUAN BANGKA BELITUNG,-0.23,-0.64,1.13,1.37,0.79,0.99,2.05,1.34,1.82,2.51,2.87,2.77,-
PROV KEPULAUAN RIAU,2.01,2.09,2.01,2.56,1.73,1.32,1.97,2.19,2.7,3.01,3,3.47,-
PROV DKI JAKARTA,0.14,-0.59,1.02,2.21,2.07,2.07,2.25,2.16,2.4,2.69,2.67,2.63,-
PROV JAWA BARAT,0.79,-0.27,0.81,1.67,1.47,1.78,2.03,1.77,2.19,2.63,2.54,2.63,-
PROV JAWA TENGAH,1.28,-0.08,0.75,1.94,1.66,2.2,2.52,2.48,2.65,2.86,2.79,2.72,-
PROV DI YOGYAKARTA,0.95,-0.3,0.52,2.1,2.04,2.52,2.6,2.3,2.56,2.9,2.92,3.11,-
PROV JAWA TIMUR,1.06,-0.03,0.77,1.35,1.22,2.02,2.21,2.17,2.53,2.69,2.63,2.93,-
PROV BANTEN,0.85,-0.33,0.7,1.59,1.57,1.83,2.29,1.95,2.31,2.75,2.56,2.74,-
PROV BALI,2.41,1.21,1.89,2.3,1.92,2.94,3.16,2.65,2.51,2.61,2.51,2.91,-
PROV NUSA TENGGARA BARAT,0.68,-0.01,1.15,1.8,1.63,2.51,3.05,2.56,2.69,2.96,2.74,3.01,-
PROV NUSA TENGGARA TIMUR,-0.06,0.47,1.86,1.77,1.6,1.72,3.03,2.71,2.3,2,2.4,2.39,-
PROV KALIMANTAN BARAT,0.15,0.04,0.94,1.2,0.59,1.2,2.14,2.13,1.94,2.07,2.04,1.85,-
PROV KALIMANTAN TENGAH,0.28,0.28,1.33,1.21,0.46,1.06,2.13,2.08,2.35,2.73,2.56,3.13,-
PROV KALIMANTAN SELATAN,0.62,0.25,1.2,1.57,1.25,1.81,2.48,2.68,2.91,3.11,3.35,3.66,-
PROV KALIMANTAN TIMUR,0.21,-0.3,1.36,1.57,1.03,1.62,2.08,1.79,1.77,1.94,2.28,2.68,-
PROV KALIMANTAN UTARA,-0.12,-0.49,1.24,1.3,1.24,1.38,1.99,2.24,2.32,2.23,2.47,2.57,-
PROV SULAWESI UTARA,-0.25,-0.15,1.41,2.27,1.53,1.71,2.04,0.94,1.57,1.48,0.65,1.23,-
PROV SULAWESI TENGAH,0.02,-0.38,1.88,2.97,2.61,2.47,3.69,4.02,3.88,3.92,3.5,3.31,-
PROV SULAWESI SELATAN,0.1,-1.09,0.67,2.28,2.04,2.24,3.05,3.12,3.03,2.98,2.73,2.84,-
PROV SULAWESI TENGGARA,-0.39,-0.22,1.53,1.96,1.71,2.52,3.72,3.75,3.68,3.26,2.94,2.86,-
PROV GORONTALO,-1.52,-0.29,1.76,2.3,0.28,0.8,3.12,2.51,1.99,2.44,2.21,2.52,-
PROV SULAWESI BARAT,0.32,-0.24,1.55,3.36,3.21,2.57,3.57,3.52,3.04,2.64,2.56,2.48,-
PROV MALUKU,0.76,1.33,3.54,3.34,2.24,1.88,2.99,3.25,3.01,2.3,2.33,3.58,-
PROV MALUKU UTARA,-0.15,0.16,2.32,3.23,1.89,2.01,2.46,0.43,-0.17,1.18,1.89,1.63,-
PROV PAPUA BARAT,-0.44,-1.98,-0.23,0.15,-1.51,-0.67,0.43,-0.87,1.02,1.42,1.33,2.59,-
PROV PAPUA BARAT DAYA,0.36,-0.49,0.24,0.41,0.36,0.5,0.96,1.88,1.3,1.36,1.38,2.15,-
PROV PAPUA,0.6,0.81,2.15,1.64,1.33,1.07,1.4,0.54,0.99,0.53,0.8,2.54,-
PROV PAPUA SELATAN,0.45,0.31,2.68,3.57,2.19,3,5.45,3.78,3.42,3.43,3.39,2.95,-
PROV PAPUA TENGAH,0.99,2.09,3.7,3.71,2.26,2.33,2.89,1.86,2.28,2.11,2.53,3.28,-
PROV PAPUA PEGUNUNGAN,4.55,7.99,8.05,5.96,5.75,2.01,4.15,3.71,3.55,3.32,4.05,3.22,-
INDONESIA,0.76,-0.09,1.03,1.95,1.6,1.87,2.37,2.31,2.65,2.86,2.72,2.92,-
