Provinsi,Produk Domestik Regional Bruto per Kapita HB (Ribu Rp)
Aceh,41408
Sumatera Utara,68306
Sumatera Barat,54327
Riau,154522
Jambi,79850
Sumatera Selatan,71958
Bengkulu,46300
Lampung,48191
Kepulauan Bangka Belitung,67813
Kepulauan Riau,154065
DKI Jakarta,322619
Jawa Barat,52652
Jawa Tengah,45167
DI Yogyakarta,48360
Jawa Timur,71122
Banten,66147
Bali,62294
Nusa Tenggara Barat,29926
Nusa Tenggara Timur,23078
Kalimantan Barat,48809
Kalimantan Tengah,75271
Kalimantan Selatan,63754
Kalimantan Timur,215761
Kalimantan Utara,201749
Sulawesi Utara,64131
Sulawesi Tengah,112461
Sulawesi Selatan,69710
Sulawesi Tenggara,64088
Gorontalo,42341
Sulawesi Barat,39547
Maluku,30455
Maluku Utara,63675
Papua Barat,108110
Papua Barat Daya,58450
Papua,78055
Papua Selatan,58677
Papua Tengah,103508
Papua Pegunungan,16870
