Provinsi,Produk Domestik Regional Bruto per Kapita Atas Dasar Harga Berlaku (Ribu Rp)
Aceh,43782
Sumatera Utara,73575
Sumatera Barat,57047
Riau,165350
Jambi,86722
Sumatera Selatan,75132
Bengkulu,49233
Lampung,51370
Kepulauan Bangka Belitung,70194
Kepulauan Riau,161424
DKI Jakarta,344350
Jawa Barat,56080
Jawa Tengah,47972
DI Yogyakarta,51473
Jawa Timur,75770
Banten,70276
Bali,67319
Nusa Tenggara Barat,32282
Nusa Tenggara Timur,24272
Kalimantan Barat,52703
Kalimantan Tengah,79320
Kalimantan Selatan,67117
Kalimantan Timur,212175
Kalimantan Utara,198429
Sulawesi Utara,69352
Sulawesi Tengah,120750
Sulawesi Selatan,73573
Sulawesi Tenggara,67840
Gorontalo,44433
Sulawesi Barat,42718
Maluku,32198
Maluku Utara,70660
Papua Barat,131636
Papua Barat Daya,59064
Papua,81009
Papua Selatan,61583
Papua Tengah,118774
Papua Pegunungan,18105
