Provinsi,Produk Domestik Regional Bruto per Kapita HK (Ribu Rp)
Aceh,25018
Sumatera Utara,36175
Sumatera Barat,30696
Riau,76885
Jambi,41926
Sumatera Selatan,37323
Bengkulu,23106
Lampung,26747
Kepulauan Bangka Belitung,36308
Kepulauan Riau,85013
DKI Jakarta,170089
Jawa Barat,30181
Jawa Tengah,26484
DI Yogyakarta,27754
Jawa Timur,39686
Banten,37165
Bali,34217
Nusa Tenggara Barat,17583
Nusa Tenggara Timur,12961
Kalimantan Barat,24954
Kalimantan Tengah,37149
Kalimantan Selatan,32212
Kalimantan Timur,125765
Kalimantan Utara,86824
Sulawesi Utara,33670
Sulawesi Tengah,45052
Sulawesi Selatan,36246
Sulawesi Tenggara,35709
Gorontalo,24313
Sulawesi Barat,22666
Maluku,16688
Maluku Utara,21915
Papua Barat,54488
Papua Barat Daya,...
Papua,32109
Papua Selatan,...
Papua Tengah,...
Papua Pegunungan,...
