38 Provinsi,,,,,,,,,
,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Jumlah,,
,2025,,,2025,,,2025,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,8.54,-,-,14.44,-,-,12.33,-,-
SUMATERA UTARA,7.1,-,-,7.71,-,-,7.36,-,-
SUMATERA BARAT,3.91,-,-,6.93,-,-,5.35,-,-
RIAU,5.75,-,-,6.43,-,-,6.16,-,-
JAMBI,9.52,-,-,6.01,-,-,7.19,-,-
SUMATERA SELATAN,9.1,-,-,10.79,-,-,10.15,-,-
BENGKULU,12.34,-,-,11.95,-,-,12.08,-,-
LAMPUNG,7.49,-,-,11.32,-,-,10,-,-
KEP. BANGKA BELITUNG,3.89,-,-,6.59,-,-,5,-,-
KEP. RIAU,4.13,-,-,8.33,-,-,4.44,-,-
DKI JAKARTA,4.28,-,-,-,-,-,4.28,-,-
JAWA BARAT,6.76,-,-,8.15,-,-,7.02,-,-
JAWA TENGAH,9.1,-,-,9.92,-,-,9.48,-,-
DI YOGYAKARTA,10.16,-,-,10.46,-,-,10.23,-,-
JAWA TIMUR,7,-,-,12.86,-,-,9.5,-,-
BANTEN,5.58,-,-,5.89,-,-,5.63,-,-
BALI,3.27,-,-,4.97,-,-,3.72,-,-
NUSA TENGGARA BARAT,12.02,-,-,11.51,-,-,11.78,-,-
NUSA TENGGARA TIMUR,7.68,-,-,22.66,-,-,18.6,-,-
KALIMANTAN BARAT,4.48,-,-,7.22,-,-,6.16,-,-
KALIMANTAN TENGAH,5.46,-,-,4.97,-,-,5.19,-,-
KALIMANTAN SELATAN,3.43,-,-,4.25,-,-,3.84,-,-
KALIMANTAN TIMUR,4.16,-,-,7.48,-,-,5.17,-,-
KALIMANTAN UTARA,5.27,-,-,5.98,-,-,5.54,-,-
SULAWESI UTARA,4.25,-,-,9.95,-,-,6.71,-,-
SULAWESI TENGAH,6.98,-,-,12.93,-,-,10.92,-,-
SULAWESI SELATAN,5.14,-,-,9.88,-,-,7.6,-,-
SULAWESI TENGGARA,6.42,-,-,13.13,-,-,10.54,-,-
GORONTALO,4.68,-,-,20.8,-,-,13.24,-,-
SULAWESI BARAT,8.35,-,-,10.94,-,-,10.41,-,-
MALUKU,4.36,-,-,24.61,-,-,15.38,-,-
MALUKU UTARA,5.95,-,-,5.76,-,-,5.81,-,-
PAPUA BARAT,9.22,-,-,25.88,-,-,20.66,-,-
PAPUA BARAT DAYA,8.98,-,-,29.71,-,-,17.95,-,-
PAPUA,6.58,-,-,38.47,-,-,19.16,-,-
PAPUA SELATAN,4.12,-,-,28.86,-,-,19.71,-,-
PAPUA TENGAH,5.51,-,-,36.54,-,-,28.9,-,-
PAPUA PEGUNUNGAN,13,-,-,31.36,-,-,30.03,-,-
INDONESIA,6.73,-,-,11.03,-,-,8.47,-,-
