Provinsi dg Rata2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rata-Rata Upah/Gaji Bersih Sebulan Buruh/Karyawan/Pegawai menurut Provinsi dan Lapangan Pekerjaan Utama di 17 Sektor (Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"A Pertanian, Kehutanan dan Perikanan",,,B Pertambangan dan Penggalian,,,C Industri Pengolahan,,,D Pengadaan Listrik dan Gas,,,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",,,F Konstruksi,,,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",,,H Transportasi dan Pergudangan,,,I Penyediaan Akomodasi dan Makan Minum,,,J Informasi dan Komunikasi,,,K Jasa Keuangan dan Asuransi,,,L Real Estate,,,"M,N Jasa Perusahaan",,,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",,,P Jasa Pendidikan,,,Q Jasa Kesehatan dan Kegiatan Sosial,,,"R,S,T,U Jasa Lainnya",,,Total,,
,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,
,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan
ACEH,2228373,2485852,-,4305238,4283385,-,2557211,2081748,-,5421924,4339764,-,2581805,2950814,-,3014043,2819702,-,3332335,2082730,-,3893380,2552742,-,1899211,1712823,-,3174059,2482265,-,3806961,4202790,-,-,-,-,3164315,3110531,-,3685541,3844157,-,2601502,2908891,-,2208454,2606276,-,1507035,1515839,-,2884151,2837520,-
SUMATERA UTARA,1950963,2461841,-,2667616,3049467,-,2695144,2950580,-,3387534,6388320,-,2172569,2314525,-,2631735,3108661,-,2501416,2487167,-,3266215,3550371,-,1849739,2044775,-,3638576,2921266,-,4639905,3401220,-,3306366,3034030,-,2287452,3224561,-,3129006,3574122,-,2719583,2711609,-,3984348,3319672,-,1439289,1550704,-,2647529,2815066,-
SUMATERA BARAT,2119389,2233507,-,3270992,3497048,-,2415850,2215561,-,5913850,4075375,-,3048847,3217644,-,2811719,2640831,-,2409372,2287647,-,2460654,3258616,-,1747326,2116034,-,1964113,2190553,-,4205248,4398979,-,-,3827618,-,2795109,2482046,-,3559225,4017507,-,2905448,3244211,-,3255629,3160689,-,1703040,1727400,-,2831404,2911450,-
RIAU,2597909,2913134,-,5746281,5053725,-,3850417,3678722,-,6309772,4436623,-,2455167,2968891,-,3039411,3377050,-,2592471,2588447,-,3691124,3333202,-,2504459,2055447,-,3695123,3016618,-,4313004,4001807,-,3808534,5877115,-,2931661,3237918,-,3290958,3695284,-,3053805,3125295,-,2889287,3436376,-,2170657,1754062,-,3083274,3144261,-
JAMBI,2124354,2374063,-,3629933,4835163,-,2821050,3056052,-,3484339,4155688,-,-,3454516,-,3037800,2738337,-,2417010,2609235,-,3968981,3035742,-,1677292,1781155,-,3835937,3611862,-,3011289,3715284,-,-,4941026,-,2808645,3369494,-,3796940,3489398,-,2902078,3078673,-,2901689,3124730,-,1502896,1460557,-,2789581,2975646,-
SUMATERA SELATAN,2036244,2340552,-,5372913,6788283,-,2816775,2947638,-,5003443,4802398,-,2209857,3889603,-,2579261,2742058,-,2475334,2549753,-,3263032,3412918,-,2042597,2347259,-,2346244,4910593,-,6538933,4251000,-,3216569,3154628,-,2833991,2999888,-,3016951,3763221,-,2694338,2951370,-,2911147,3400424,-,1394667,1512827,-,2727684,3015055,-
BENGKULU,2135850,2285360,-,4235185,4128387,-,2123224,2197537,-,2685226,3512393,-,-,2000908,-,2799761,2552530,-,2081938,2409178,-,2362931,3061786,-,1817694,1768884,-,2852645,2571186,-,4527321,4227697,-,-,2204762,-,2713722,2887227,-,3460404,3925552,-,2159107,3172068,-,2580408,2922665,-,1485903,1388374,-,2566215,2935681,-
